OBJECTID_1,GEOID,STUSAB,NAME,B25002EST1,B25002EST2,B25002EST2_PCT,B25002EST3,B25002EST3_PCT,B25009EST2,B25009EST2_PCT,B25009EST3,B25009EST3_PCT,B25009EST4,B25009EST4_PCT,B25009EST5,B25009EST5_PCT,B25009EST6,B25009EST6_PCT,B25009EST7,B25009EST7_PCT,B25009_OWNOCC_6PLUS,B25009_OWN_6PLUS_PCT,B25009EST10,B25009EST10_PCT,B25009EST11,B25009EST11_PCT,B25009EST12,B25009EST12_PCT,B25009EST13,B25009EST13_PCT,B25009EST14,B25009EST14_PCT,B25009EST15,B25009EST15_PCT,B25009_RENTOCC_6PLUS,B25009_RENT_6PLUS_PCT,B25009_TOT_1,B25009_TOT_1_PCT,B25009_TOT_2,B25009_TOT_2_PCT,B25009_TOT_3,B25009_TOT_3_PCT,B25009_TOT_4,B25009_TOT_4_PCT,B25009_TOT_5,B25009_TOT_5_PCT,B25009_TOT_6PLUS,B25009_TOT_6PLUS_PCT,B25037EST3,B25041EST2,B25041EST2_PCT,B25041EST3,B25041EST3_PCT,B25041EST4,B25041EST4_PCT,B25041_3PLUS_BDR,B25041_3PLUS_BDR_PCT,B25021EST1,B25021EST2,B25021EST3,B25024EST2,B25024EST2_PCT,B25024EST3,B25024EST3_PCT,B25024_2TO4,B25024_2TO4_PCT,B25024_5TO19,B25024_5TO19_PCT,B25024_20PLUS,B25024_20PLUS_PCT,B25024_OTHER,B25024_OTHER_PCT,B25032EST2,B25032EST3,B25032EST3_PCT,B25032EST4,B25032EST4_PCT,B25032_OWN_2TO4,B25032_OWN_2TO4_PCT,B25032_OWN_5TO19,B25032_OWN_5TO19_PCT,B25032_OWN_20PLUS,B25032_OWN_20PLUS_PCT,B25032_OWN_OTHER,B25032_OWN_OTHER_PCT,B25032EST13,B25032EST14,B25032EST14_PCT,B25032EST15,B25032EST15_PCT,B25032_RENT_2TO4,B25032_RENT_2TO4_PCT,B25032_RENT_5TO19,B25032_RENT_5TO19_PCT,B25032_RENT_20PLUS,B25032_RENT_20PLUS_PCT,B25032_RENT_OTHER,B25032_RENT_OTHER_PCT,B25036_OWN_2KPLUS,B25036_OWN_2KPLUS_PCT,B25036_OWN_80TO99,B25036_OWN_80TO99_PCT,B25036_OWN_50TO79,B25036_OWN_50TO79_PCT,B25036_OWN_49MINUS,B25036_OWN_49MINUS_PCT,B25036_RENT_2KPLUS,B25036_RENT_2KPLUS_PCT,B25036_RENT_80TO99,B25036_RENT_80TO99_PCT,B25036_RENT_50TO79,B25036_RENT_50TO79_PCT,B25036_RENT_49MINUS,B25036_RENT_49MINUS_PCT,B25036_RENT_80MINUS,B25036_RENT_80MINUS_PCT,B25036_TOT_2KPLUS,B25036_TOT_2KPLUS_PCT,B25036_TOT_80TO99,B25036_TOT_80TO99_PCT,B25036_TOT_50TO79,B25036_TOT_50TO79_PCT,B25036_TOT_49MINUS,B25036_TOT_49MINUS_PCT,B25068EST2,B25068EST2_PCT,B25068EST4,B25068EST4_PCT,B25068_0BDR_200TO499,B25068_0BDR_200TO499_PCT,B25068_0BDR_500TO999,B25068_0BDR_500TO999_PCT,B25068EST9,B25068EST9_PCT,B25068EST10,B25068EST10_PCT,B25068EST11,B25068EST11_PCT,B25068EST13,B25068EST13_PCT,B25068_1BDR_200TO499,B25068_1BDR_200TO499_PCT,B25068_1BDR_500TO999,B25068_1BDR_500TO999_PCT,B25068EST18,B25068EST18_PCT,B25068EST19,B25068EST19_PCT,B25068EST20,B25068EST20_PCT,B25068EST22,B25068EST22_PCT,B25068_2BDR_200TO499,B25068_2BDR_200TO499_PCT,B25068_2BDR_500TO999,B25068_2BDR_500TO999_PCT,B25068EST27,B25068EST27_PCT,B25068EST28,B25068EST28_PCT,B25068EST29,B25068EST29_PCT,B25068EST31,B25068EST31_PCT,B25068_3PLUSBDR_200TO499,B25068_3PLUSBDR_200TO499_PCT,B25068_3PLUSBDR_500TO999,B25068_3PLUSBDR_500TO999_PCT,B25068EST36,B25068EST36_PCT,B25068EST37,B25068EST37_PCT,B25056_500MINUS,B25056_500MINUS_PCT,B25056_500TO599,B25056_500TO599_PCT,B25056_600TO699,B25056_600TO699_PCT,B25056_700TO799,B25056_700TO799_PCT,B25056EST18,B25056EST18_PCT,B25056EST19,B25056EST19_PCT,B25056EST20,B25056EST20_PCT,B25056EST21,B25056EST21_PCT,B25056EST22,B25056EST22_PCT,B25056EST23,B25056EST23_PCT,B25056EST24,B25056EST24_PCT,B25058EST1,B25042EST3,B25042EST3_PCT,B25042EST4,B25042EST4_PCT,B25042EST5,B25042EST5_PCT,B25042_OWN_3PLUS_BDR,B25042_OWN_3PLUS_BDR_PCT,B25042EST10,B25042EST10_PCT,B25042EST11,B25042EST11_PCT,B25042EST12,B25042EST12_PCT,B25042_RENT_3PLUS_BDR,B25042_RENT_3PLUS_BDR_PCT,B25097EST1,B25097EST2,B25097EST3,B25123_TOT,B25123_TOT_1,B25123_TOT_2,B25123_TOT_3,B25123_TOT_4,B25123EST3,B25123EST3_PCT,B25123EST4,B25123EST4_PCT,B25123EST5,B25123EST5_PCT,B25123EST6,B25123EST6_PCT,B25123EST7,B25123EST7_PCT,B25123EST9,B25123EST9_PCT,B25123EST10,B25123EST10_PCT,B25123EST11,B25123EST11_PCT,B25123EST12,B25123EST12_PCT,B25123EST13,B25123EST13_PCT,Shape__Area,Shape__Length
1,17,IL,Illinois,5373385,4884061,90.89,489324,9.11,3237778,66.29,770693,23.8,1150136,35.52,508052,15.69,467891,14.45,220004,6.79,121002,3.74,1646283,33.71,686718,41.71,444567,27,227417,13.81,158415,9.62,79775,4.85,49391,3,1457411,29.84,1594703,32.65,735469,15.06,626306,12.82,299779,6.14,170393,3.49,1968,156373,2.91,606416,11.29,1511758,28.13,3098838,57.67,5.7,6.4,4.2,3161971,58.85,311584,5.8,644246,11.99,543884,10.12,580042,10.79,131658,2.45,3237778,2567640,79.3,214318,6.62,150779,4.66,91081,2.81,133844,4.13,80116,2.47,1646283,367006,22.29,80480,4.89,397598,24.15,391022,23.75,381109,23.15,29068,1.77,496803,15.34,692175,21.38,1273759,39.34,775041,23.94,197363,11.99,326446,19.83,628828,38.2,493646,29.99,1122474,68.18,694166,14.21,1018621,20.86,1902587,38.96,1268687,25.98,114186,6.94,9025,7.9,10660,9.34,49559,43.4,42711,2418216.23,2231,1.95,438199,26.62,36231,8.27,42178,9.63,175174,39.98,177106,40.42,7510,1.71,643916,39.11,15330,2.38,24166,3.75,252468,39.21,329614,51.19,22338,3.47,449982,27.33,6785,1.51,14308,3.18,109107,24.25,283693,63.05,36089,8.02,253521,15.4,122279,7.43,131424,7.98,142523,8.66,150063,9.12,133663,8.12,231780,14.08,148062,8.99,158491,9.63,106309,6.46,68168,4.14,893,11974,0.37,90628,2.8,693762,21.43,2441414,75.4,114186,6.94,438199,26.62,643916,39.11,449982,27.33,202100,217400,174800,3414202,1403894,62246,3681,38,712148,21.99,15058,0.47,1458,0.05,8,0,2509106,77.49,691746,42.02,47188,2.87,2223,0.14,30,0,905096,54.98,249659759447.324,2780938.96515637
2,18,IN,Indiana,2903720,2602770,89.64,300950,10.36,1808293,69.48,421513,23.31,697257,38.56,275433,15.23,239377,13.24,112297,6.21,62416,3.45,794477,30.52,333680,42,215854,27.17,108604,13.67,77349,9.74,36274,4.57,22716,2.86,755193,29.01,913111,35.08,384037,14.75,316726,12.17,148571,5.71,85132,3.27,1975,44939,1.55,260084,8.96,741293,25.53,1857404,63.97,5.9,6.5,4.4,2121584,73.06,108823,3.75,171622,5.91,237701,8.19,127308,4.38,136682,4.71,1808293,1657899,91.68,52782,2.92,12668,0.7,6055,0.33,3696,0.2,75193,4.16,794477,285265,35.91,43012,5.41,130090,16.37,197991,24.92,103497,13.03,34622,4.36,345403,19.1,445990,24.66,635136,35.12,381764,21.11,117751,14.82,212907,26.8,294924,37.12,168895,21.26,463819,58.38,463154,17.79,658897,25.32,930060,35.73,550659,21.16,30856,3.88,2565,8.31,5703,18.48,16906,54.79,4828,270706.87,854,2.77,190888,24.03,19287,10.1,24603,12.89,118384,62.02,24578,12.88,4036,2.11,318529,40.09,7304,2.29,13250,4.16,202246,63.49,81336,25.53,14393,4.52,254204,32,3839,1.51,8093,3.18,102520,40.33,115193,45.32,24559,9.66,168039,21.15,116299,14.64,127290,16.02,108291,13.63,77551,9.76,44233,5.57,58687,7.39,25955,3.27,14957,1.88,9333,1.17,43842,5.52,667,3244,0.18,26276,1.45,313639,17.34,1465134,81.02,30856,3.88,190888,24.03,318529,40.09,254204,32,148900,156100,130600,1973824,603459,22945,2184,358,278481,15.4,5972,0.33,1357,0.08,260,0.01,1522223,84.18,324978,40.9,16973,2.14,827,0.1,98,0.01,451601,56.84,159573993514.449,2248208.13794834
3,20,KS,Kansas,1280376,1141985,89.19,138391,10.81,756309,66.23,169504,22.41,298607,39.48,107257,14.18,101222,13.38,50804,6.72,28915,3.82,385676,33.77,162908,42.24,104853,27.19,50536,13.1,37804,9.8,18628,4.83,10947,2.84,332412,29.11,403460,35.33,157793,13.82,139026,12.17,69432,6.08,39862,3.49,1975,29022,2.27,120411,9.4,327428,25.57,803515,62.76,6.1,6.9,4.4,930637,72.68,59740,4.67,77725,6.07,95537,7.46,62015,4.84,54722,4.27,756309,696316,92.07,22621,2.99,3809,0.5,1667,0.22,1558,0.21,30338,4.01,385676,148021,38.38,33120,8.59,60700,15.74,79949,20.73,51931,13.46,11955,3.1,127185,16.82,191026,25.26,281420,37.21,156678,20.72,63649,16.5,99809,25.88,149989,38.89,72229,18.73,222218,57.62,190834,16.71,290835,25.47,431409,37.78,228907,20.04,19806,5.14,1526,7.7,3325,16.79,11118,56.13,3497,229506.07,340,1.72,88544,22.96,7008,7.91,14339,16.19,49842,56.29,15627,17.65,1728,1.95,150206,38.95,2783,1.85,7431,4.95,89272,59.43,44397,29.56,6323,4.21,127120,32.96,984,0.77,4172,3.28,45148,35.52,64240,50.53,12576,9.89,95359,24.73,51866,13.45,50499,13.09,42708,11.07,32363,8.39,22249,5.77,35011,9.08,15667,4.06,13052,3.38,5935,1.54,20967,5.44,665,1813,0.24,12647,1.67,128993,17.06,612856,81.03,19806,5.14,88544,22.96,150206,38.95,127120,32.96,157600,172200,128400,854942,272824,13409,798,12,123751,16.36,3206,0.42,333,0.04,0,0,629019,83.17,149073,38.65,10203,2.65,465,0.12,12,0,225923,58.58,348444038450.109,2570737.00363692
4,21,KY,Kentucky,1994554,1748053,87.64,246501,12.36,1181021,67.56,286021,24.22,457337,38.72,191074,16.18,149509,12.66,63710,5.39,33370,2.83,567032,32.44,216079,38.11,157998,27.86,87313,15.4,59788,10.54,29002,5.11,16852,2.97,502100,28.72,615335,35.2,278387,15.93,209297,11.97,92712,5.3,50222,2.87,1979,31000,1.55,159219,7.98,522536,26.2,1281799,64.26,5.8,6.4,4.4,1347181,67.54,51490,2.58,144884,7.26,155661,7.8,64239,3.22,231099,11.59,1181021,1005875,85.17,25681,2.17,8919,0.76,10181,0.86,3714,0.31,126651,10.72,567032,200157,35.3,22133,3.9,114287,20.16,125215,22.08,51476,9.08,53764,9.48,267500,22.65,353842,29.96,412647,34.94,147032,12.45,98352,17.35,170617,30.09,217293,38.32,80770,14.24,298063,52.57,365852,20.93,524459,30,629940,36.04,227802,13.03,20715,3.65,3252,15.7,4314,20.83,9702,46.84,2557,152404.99,890,4.3,111380,19.64,16561,14.87,18372,16.49,62017,55.68,10947,9.83,3483,3.13,229817,40.53,9457,4.12,17976,7.82,142236,61.89,43293,18.84,16855,7.33,205120,36.17,4877,2.38,9854,4.8,84909,41.39,74549,36.34,30931,15.08,167677,29.57,81568,14.39,71305,12.58,58314,10.28,43589,7.69,29242,5.16,35581,6.27,14992,2.64,7951,1.4,4654,0.82,52159,9.2,610,3043,0.26,19618,1.66,197628,16.73,960732,81.35,20715,3.65,111380,19.64,229817,40.53,205120,36.17,147100,161600,118200,1315733,412178,18529,1320,293,201478,17.06,4658,0.39,601,0.05,76,0.01,974208,82.49,210700,37.16,13871,2.45,719,0.13,217,0.04,341525,60.23,166705581196.559,2749110.4189488
5,22,LA,Louisiana,2074664,1751956,84.45,322708,15.55,1167628,66.65,296917,25.43,430840,36.9,195919,16.78,145374,12.45,65565,5.62,33013,2.83,584328,33.35,241166,41.27,150988,25.84,87112,14.91,58613,10.03,28920,4.95,17529,3,538083,30.71,581828,33.21,283031,16.16,203987,11.64,94485,5.39,50542,2.88,1978,33109,1.6,179842,8.67,499264,24.06,1362449,65.67,5.6,6.1,4.5,1363426,65.72,56268,2.71,164947,7.95,119045,5.74,99170,4.78,271808,13.1,1167628,977189,83.69,19518,1.67,12496,1.07,3613,0.31,4084,0.35,150728,12.91,584328,216440,37.04,28482,4.87,117318,20.08,88842,15.2,73928,12.65,59318,10.15,291700,24.98,324500,27.79,444923,38.1,106505,9.12,106701,18.26,161325,27.61,248238,42.48,68064,11.65,316302,54.13,398401,22.74,485825,27.73,693161,39.56,174569,9.96,18292,3.13,2466,13.48,2950,16.13,9383,51.3,2623,192703.8,870,4.76,118506,20.28,12480,10.53,12852,10.85,67159,56.67,22478,18.97,3537,2.98,223954,38.33,8690,3.88,15213,6.79,116614,52.07,65718,29.34,17719,7.91,223576,38.26,3941,1.76,11147,4.99,74405,33.28,94045,42.06,40038,17.91,127541,21.83,58704,10.05,67062,11.48,67688,11.58,55810,9.55,36842,6.31,54351,9.3,29430,5.04,17005,2.91,7731,1.32,62164,10.64,711,4747,0.41,19587,1.68,165167,14.15,978127,83.77,18292,3.13,118506,20.28,223954,38.33,223576,38.26,168100,186900,144300,1260147,469884,20915,886,124,207466,17.77,5416,0.46,411,0.04,19,0,954316,81.73,262418,44.91,15499,2.65,475,0.08,105,0.02,305831,52.34,165729249675.061,16322557.36781
6,25,MA,Massachusetts,2913009,2646980,90.87,266029,9.13,1654892,62.52,353576,21.37,589413,35.62,289287,17.48,267551,16.17,104294,6.3,50771,3.07,992088,37.48,397960,40.11,291268,29.36,150171,15.14,96014,9.68,36525,3.68,20150,2.03,751536,28.39,880681,33.27,439458,16.6,363565,13.74,140819,5.32,70921,2.68,1958,82877,2.85,394105,13.53,812872,27.9,1623155,55.72,5.6,6.5,4,1516717,52.07,158626,5.45,592402,20.34,293511,10.08,327497,11.24,24256,0.83,1654892,1276084,77.11,96816,5.85,165747,10.02,46230,2.79,53005,3.2,17010,1.03,992088,95152,9.59,50418,5.08,369408,37.24,225004,22.68,248002,25,4104,0.41,184712,11.16,345856,20.9,571086,34.51,553238,33.43,106281,10.71,149986,15.12,307563,31,428258,43.17,735821,74.17,290993,10.99,495842,18.73,878649,33.19,981496,37.08,63242,6.37,7314,11.57,5698,9.01,16975,26.84,32151,1249731.08,1104,1.75,297675,30,36125,12.14,33001,11.09,66631,22.38,156580,52.6,5338,1.79,384090,38.72,12203,3.18,16096,4.19,64407,16.77,280257,72.97,11127,2.9,247081,24.91,5301,2.15,8502,3.44,36906,14.94,180086,72.89,16286,6.59,145891,14.71,33436,3.37,41148,4.15,50300,5.07,60134,6.06,53815,5.42,129789,13.08,111047,11.19,167910,16.92,164763,16.61,33855,3.41,1182,6800,0.41,55933,3.38,346246,20.92,1245913,75.29,63242,6.37,297675,30,384090,38.72,247081,24.91,398800,405700,386000,1759901,852637,31986,2419,37,415232,25.09,5986,0.36,577,0.03,21,0,1233076,74.51,437405,44.09,26000,2.62,1842,0.19,16,0,526825,53.1,38343383080.5078,4149616.12451156
7,24,MD,Maryland,2459650,2230527,90.68,229123,9.32,1495828,67.06,332002,22.2,523375,34.99,258039,17.25,227194,15.19,96602,6.46,58616,3.92,734699,32.94,281022,38.25,195645,26.63,109891,14.96,81794,11.13,40420,5.5,25927,3.53,613024,27.48,719020,32.24,367930,16.5,308988,13.85,137022,6.14,84543,3.79,1976,45940,1.87,248570,10.11,525189,21.35,1639951,66.67,6.3,7.3,4.3,1268513,51.57,524809,21.34,90693,3.69,312497,12.7,229353,9.32,33785,1.37,1495828,1069713,71.51,326383,21.82,8638,0.58,38817,2.6,32813,2.19,19464,1.3,734699,113444,15.44,142379,19.38,67255,9.15,240243,32.7,164683,22.42,6695,0.91,264788,17.7,467180,31.23,539322,36.06,224538,15.01,121434,16.53,202844,27.61,289676,39.43,120745,16.43,410421,55.86,386222,17.32,670024,30.04,828998,37.17,345283,15.48,35745,4.87,2994,8.38,2332,6.52,9196,25.73,20504,1235322.8,719,2.01,195662,26.63,15177,7.76,12503,6.39,40051,20.47,124973,63.87,2958,1.51,277597,37.78,5090,1.83,6172,2.22,37544,13.52,221347,79.74,7444,2.68,225695,30.72,2609,1.16,3970,1.76,22409,9.93,181551,80.44,15156,6.72,66046,8.99,18802,2.56,24047,3.27,32217,4.39,39157,5.33,45553,6.2,121345,16.52,122330,16.65,161021,21.92,77904,10.6,26277,3.58,1264,3286,0.22,22284,1.49,181648,12.14,1288610,86.15,35745,4.87,195662,26.63,277597,37.78,225695,30.72,325400,333400,300600,1544198,657056,27653,1600,20,328903,21.99,5315,0.36,457,0.03,0,0,1161153,77.63,328153,44.66,22338,3.04,1143,0.16,20,0,383045,52.14,42583313565.9805,10029195.6447873
8,23,ME,Maine,746793,569551,76.27,177242,23.73,414939,72.85,97434,23.48,179318,43.22,62967,15.18,49804,12,17051,4.11,8365,2.02,154612,27.15,72126,46.65,43811,28.34,19690,12.74,11338,7.33,5160,3.34,2487,1.61,169560,29.77,223129,39.18,82657,14.51,61142,10.74,22211,3.9,10852,1.91,1971,21470,2.87,87855,11.76,220008,29.46,417460,55.9,5.6,6.1,4.2,524685,70.26,17458,2.34,76739,10.28,39319,5.27,25989,3.48,62603,8.38,414939,348536,84,10104,2.44,11820,2.85,2369,0.57,1716,0.41,40394,9.73,154612,35569,23.01,5200,3.36,51591,33.37,31182,20.17,20043,12.96,11027,7.13,81887,19.73,116444,28.06,113628,27.38,102980,24.82,16809,10.87,38770,25.08,45134,29.19,53899,34.86,99033,64.05,98696,17.33,155214,27.25,158762,27.87,156879,27.54,8550,5.53,1537,17.98,1329,15.54,4325,50.58,1099,80803.4,260,3.04,46494,30.07,5764,12.4,7143,15.36,22981,49.43,9105,19.58,1501,3.23,57968,37.49,2339,4.03,3349,5.78,25241,43.54,22848,39.41,4191,7.23,41600,26.91,918,2.21,1409,3.39,12013,28.88,21466,51.6,5794,13.93,30904,19.99,11479,7.42,16895,10.93,18136,11.73,15143,9.79,10639,6.88,20326,13.15,9679,6.26,6772,4.38,2893,1.87,11746,7.6,768,1605,0.39,16192,3.9,102879,24.79,294263,70.92,8550,5.53,46494,30.07,57968,37.49,41600,26.91,198000,210100,174100,415162,147835,5780,737,37,86377,20.82,2197,0.53,320,0.08,35,0.01,326010,78.57,61458,39.75,3583,2.32,417,0.27,2,0,89152,57.66,170620038154.434,10628394.6932218
9,26,MI,Michigan,4611913,3980408,86.31,631505,13.69,2855485,71.74,700075,24.52,1091150,38.21,434044,15.2,370829,12.99,165235,5.79,94152,3.3,1124923,28.26,489519,43.52,303177,26.95,147407,13.1,106029,9.43,47936,4.26,30855,2.74,1189594,29.89,1394327,35.03,581451,14.61,476858,11.98,213171,5.36,125007,3.14,1972,74417,1.61,410345,8.9,1156383,25.07,2970768,64.42,5.9,6.5,4.4,3326057,72.12,212338,4.6,227869,4.94,350709,7.6,245415,5.32,249525,5.41,2855485,2516764,88.14,122191,4.28,31109,1.09,25311,0.89,10232,0.36,149878,5.25,1124923,363739,32.33,68887,6.12,155905,13.86,286403,25.46,202469,18,47520,4.22,409077,14.33,666451,23.34,1187304,41.58,592653,20.75,120118,10.68,268125,23.83,491452,43.69,245228,21.8,736680,65.49,529195,13.29,934576,23.48,1678756,42.18,837881,21.05,44731,3.98,3942,8.81,6485,14.5,24767,55.37,8599,496208.13,938,2.1,284795,25.32,32186,11.3,33272,11.68,166745,58.55,47947,16.84,4645,1.63,437419,38.88,11685,2.67,18638,4.26,229198,52.4,160195,36.62,17703,4.05,357978,31.82,4060,1.13,11309,3.16,121466,33.93,187184,52.29,33959,9.49,200076,17.79,127346,11.32,149992,13.33,152945,13.6,127758,11.36,85286,7.58,111397,9.9,50531,4.49,37533,3.34,24814,2.21,57245,5.09,737,4950,0.17,45320,1.59,500944,17.54,2304271,80.7,44731,3.98,284795,25.32,437419,38.88,357978,31.82,162600,174800,138400,2928688,1013109,34715,3614,282,527931,18.49,10391,0.36,1504,0.05,183,0.01,2315476,81.09,485178,43.13,24324,2.16,2110,0.19,99,0.01,613212,54.51,294902818294.539,9657775.98720048
10,27,MN,Minnesota,2458030,2207988,89.83,250042,10.17,1588611,71.95,351829,22.15,621516,39.12,234225,14.74,226671,14.27,100239,6.31,54131,3.41,619377,28.05,284101,45.87,164434,26.55,73201,11.82,51863,8.37,25457,4.11,20321,3.28,635930,28.8,785950,35.6,307426,13.92,278534,12.61,125696,5.69,74452,3.37,1976,57561,2.34,278822,11.34,615960,25.06,1505687,61.26,6.2,7,3.9,1647497,67.03,182492,7.42,101989,4.15,136458,5.55,310215,12.62,79379,3.23,1588611,1354781,85.28,123436,7.77,18726,1.18,11669,0.73,31182,1.96,48817,3.07,619377,118680,19.16,51192,8.27,72479,11.7,112396,18.15,254865,41.15,9765,1.58,317406,19.98,424273,26.71,518969,32.67,327963,20.64,111268,17.96,158316,25.56,231954,37.45,117839,19.03,349793,56.47,428674,19.41,582589,26.39,750923,34.01,445802,20.19,41528,6.7,3676,8.85,4497,10.83,20841,50.19,11771,786609.4,743,1.79,202819,32.75,19729,9.73,21213,10.46,86522,42.66,72969,35.98,2386,1.18,228135,36.83,5717,2.51,9217,4.04,80337,35.21,125334,54.94,7530,3.3,146895,23.72,2465,1.68,6300,4.29,32342,22.02,91169,62.06,14619,9.95,95977,15.5,35975,5.81,42364,6.84,54466,8.79,59384,9.59,56908,9.19,98809,15.95,69101,11.16,55653,8.99,25462,4.11,25278,4.08,916,4128,0.26,39515,2.49,305956,19.26,1239012,77.99,41528,6.7,202819,32.75,228135,36.83,146895,23.72,235700,245100,215300,1647385,532880,25516,2097,110,278928,17.56,5639,0.35,869,0.05,90,0.01,1303085,82.03,253952,41,19877,3.21,1228,0.2,20,0,344300,55.59,458690450877.527,4709084.86814972
